

time(s),pulse,score,player,coin
203.5126,149,0.3421053,null,
203.5291,149,0.3789474,null,
203.5456,149,0.3789474,null,
203.5627,149,0.3789474,null,
203.5791,149,0.4315789,null,
203.5956,149,0.4315789,null,
203.6125,149,0.4315789,null,
203.6291,149,0.4789474,null,
203.6457,149,0.4789474,null,
203.6624,149,0.4789474,null,
203.679,149,0.5,null,
203.6957,149,0.5,null,
203.7124,149,0.5,null,
203.729,149,0.5,null,
203.7458,149,0.5,null,
203.7624,149,0.5,null,
203.779,149,0.5,null,
203.7958,149,0.5,null,
203.8127,149,0.5,null,
203.8295,149,0.5,null,
203.8461,149,0.5,null,
203.8628,149,0.5,null,
203.8795,149,0.5,null,
203.8963,149,0.5,null,
203.9131,149,0.5,null,
203.9293,149,0.5,null,
203.9458,149,0.5,null,
203.9625,150,0.5,0,
203.9792,150,0.5,null,
203.996,150,0.5,null,
204.0124,150,0.5,null,
204.0291,150,0.5,null,
204.0457,150,0.5,null,
204.0624,150,0.5,null,
204.0791,150,0.5,null,
204.0958,150,0.5,null,
204.1125,150,0.5,null,
204.1292,150,0.5,null,
204.1456,150,0.5,null,
204.1625,150,0.5,null,
204.1791,150,0.5,null,
204.1957,150,0.5,null,
204.213,150,0.5,null,
204.2291,150,0.5,null,
204.2457,150,0.5,null,
204.2624,150,0.5,null,
204.2791,150,0.5,null,
204.2956,150,0.5,null,
204.3129,150,0.5,null,
204.3295,150,0.5,null,
204.3462,150,0.5,null,
204.3629,150,0.5,null,
204.3795,150,0.5,null,
204.396,150,0.4789474,null,
204.4128,150,0.4789474,null,
204.4294,150,0.4789474,null,
204.4462,150,0.4526316,null,
204.4625,150,0.4526316,null,
204.4795,150,0.4526316,null,
204.4959,151,0.4526316,0,
204.5124,151,0.4526316,null,
204.5292,151,0.4526316,null,
204.5457,151,0.4157895,null,
204.5623,151,0.4157895,null,
204.5793,151,0.368421,null,
204.5957,151,0.368421,null,
204.6125,151,0.368421,null,
204.6293,151,0.3263158,null,
204.6457,151,0.3263158,null,
204.6625,151,0.3263158,null,
204.6791,151,0.2789474,null,
204.6958,151,0.2789474,null,
204.7125,151,0.2789474,null,
204.7291,151,0.2368421,null,
204.7458,152,0.2368421,1,
204.7625,152,0.2368421,null,
204.7796,152,0.1947368,null,
204.796,152,0.1947368,null,
204.8128,152,0.1578947,null,
204.8295,152,0.1578947,null,
204.8461,152,0.1578947,null,
204.8628,152,0.1263158,null,
204.8795,152,0.1263158,null,
204.8961,152,0.1263158,null,
204.913,152,0.1,null,
204.9293,152,0.1,null,
204.9461,152,0.1,null,
204.9624,152,0.08947369,null,
204.9791,152,0.08947369,null,
204.9959,153,0.08947369,2,
205.0123,153,0.08421053,null,
205.0292,153,0.08421053,null,
205.0458,153,0.07368421,null,
205.0623,153,0.07368421,null,
205.0793,153,0.07368421,null,
205.0958,153,0.07368421,null,
205.1125,153,0.07368421,null,
205.1292,153,0.07368421,null,
205.1458,153,0.06842105,null,
205.1625,153,0.06842105,null,
205.1792,153,0.06842105,null,
205.1958,153,0.06315789,null,
205.2125,153,0.06315789,null,
205.2291,153,0.06315789,null,
205.2461,153,0.06315789,null,
205.2628,153,0.06315789,null,
205.2795,153,0.06315789,null,
205.2962,153,0.06315789,null,
205.3128,153,0.06315789,null,
205.3295,153,0.06315789,null,
205.3462,153,0.06315789,null,
205.3628,153,0.06315789,null,
205.3796,153,0.06315789,null,
205.3961,153,0.06315789,null,
205.4126,153,0.06315789,null,
205.4292,153,0.06315789,null,
205.4459,153,0.06315789,null,
205.4625,153,0.06315789,null,
205.4792,153,0.06315789,null,
205.4958,154,0.06315789,2,
205.5125,154,0.05789474,null,
205.5291,154,0.05789474,null,
205.546,154,0.05789474,null,
205.5625,154,0.06315789,null,
205.5793,154,0.06315789,null,
205.5959,154,0.06315789,null,
205.6125,154,0.05789474,null,
205.6293,154,0.05789474,null,
205.6459,154,0.05789474,null,
205.6625,154,0.05789474,null,
205.6792,154,0.05789474,null,
205.6958,154,0.06315789,null,
205.7128,154,0.06315789,null,
205.7295,154,0.06315789,null,
205.7462,154,0.06315789,null,
205.7629,154,0.06315789,null,
205.7794,154,0.06315789,null,
205.7962,154,0.06315789,null,
205.8129,154,0.06315789,null,
205.83,154,0.07368421,null,
205.8462,154,0.07368421,null,
205.8626,154,0.07368421,null,
205.8792,154,0.08947369,null,
205.8958,154,0.08947369,null,
205.9126,154,0.1157895,null,
205.9291,154,0.1157895,null,
205.9459,154,0.1157895,null,
205.9625,154,0.1526316,null,
205.9794,154,0.1526316,null,
205.9958,154,0.1526316,null,
206.0126,154,0.1842105,null,
206.0292,154,0.1842105,null,
206.046,154,0.1842105,null,
206.0625,154,0.2263158,null,
206.0793,154,0.2263158,null,
206.096,154,0.2736842,null,pulse
206.1124,154,0.2736842,null,
206.1294,154,0.2736842,null,
206.1459,154,0.3210526,null,
206.1625,154,0.3210526,null,
206.1796,154,0.3210526,2,
206.1963,154,0.3578947,null,
206.2129,154,0.3578947,null,
206.2298,154,0.3578947,null,
206.2462,154,0.3578947,null,
206.263,154,0.3578947,null,
206.2796,154,0.3578947,null,
206.2964,154,0.3842105,null,
206.3128,154,0.3842105,null,
206.3293,154,0.4157895,null,
206.3459,154,0.4157895,null,
206.3627,154,0.4157895,null,
206.3793,154,0.4526316,null,
206.3958,154,0.4526316,null,
206.4126,154,0.4526316,null,
206.4292,154,0.4842105,1,
206.4458,154,0.4842105,null,
206.4627,154,0.4842105,null,
206.4792,155,0.5,0,
206.4959,155,0.5,null,
206.5126,155,0.5,null,
206.5293,155,0.5,null,
206.5459,155,0.5,null,
206.5626,155,0.5,null,
206.5792,155,0.5,null,
206.596,155,0.5,null,
206.6126,155,0.5,null,
206.6297,155,0.5,null,
206.6463,155,0.5,null,
206.663,155,0.5,null,
206.6797,155,0.5,null,
206.6964,155,0.5,null,
206.7131,155,0.5,null,
206.7297,155,0.5,null,
206.7465,155,0.5,null,
206.7631,155,0.5,null,
206.7796,155,0.5,null,
206.7959,155,0.5,null,
206.8125,155,0.5,null,
206.8293,155,0.5,null,
206.8459,155,0.5,null,
206.8625,155,0.5,null,
206.8793,155,0.5,null,
206.8959,155,0.5,null,
206.9126,155,0.5,null,
206.9294,155,0.5,null,
206.9459,155,0.5,null,
206.9625,156,0.5,0,
206.9793,156,0.5,null,
206.996,156,0.5,null,
207.0126,156,0.5,null,
207.0293,156,0.5,null,
207.0459,156,0.5,null,
207.0626,156,0.5,null,
207.0792,156,0.5,null,
207.0964,156,0.5,null,
207.1131,156,0.5,null,
207.1302,156,0.5,null,
207.1463,156,0.5,null,
207.163,156,0.5,null,
207.1797,156,0.5,null,
207.1961,156,0.5,null,
207.2129,156,0.5,null,
207.2296,156,0.5,null,
207.2462,156,0.5,null,
207.2625,156,0.5,null,
207.2793,156,0.5,null,
207.2959,156,0.5,null,
207.3125,156,0.5,null,
